DayOfWeek,DestAirportID,delay_chance
1,10423,0.23214285714285715
7,12191,0.23214285714285715
3,10721,0.23212536728697356
5,13871,0.23195876288659795
3,11042,0.23180592991913745
7,14831,0.23170731707317074
5,13495,0.23163841807909605
5,11292,0.23149394347240915
6,14730,0.23008849557522124
5,10821,0.22897800776196636
6,10140,0.228310502283105
6,11193,0.2275449101796407
3,15304,0.22752293577981653
7,13871,0.22727272727272727
7,14524,0.22699386503067484
1,12892,0.2269579115610016
6,14683,0.22695035460992907
7,13891,0.22674418604651161
3,13198,0.22629310344827586
2,11259,0.2262295081967213
4,13204,0.2259953161592506
7,13931,0.22560975609756098
1,14831,0.22538860103626943
2,14100,0.22507552870090636
7,12478,0.2246376811594203
3,14570,0.22448979591836735
3,14027,0.22413793103448276
5,11298,0.2239089184060721
6,11697,0.22379032258064516
1,13198,0.22379032258064516
2,14730,0.2236024844720497
1,10693,0.22326454033771106
6,12339,0.22277227722772278
5,12892,0.2223433242506812
1,14027,0.2222222222222222
1,13891,0.2222222222222222
6,13931,0.22123893805309736
7,10397,0.22118525431637892
2,11066,0.22088353413654618
5,14057,0.22018348623853212
5,12339,0.22014925373134328
3,14524,0.22012578616352202
4,13244,0.21978021978021978
2,10721,0.21836925960637302
7,11259,0.2183406113537118
3,12451,0.2183406113537118
3,12892,0.21822272215973004
4,10397,0.2179261862917399
7,15016,0.21777777777777776
4,14831,0.21774193548387097
4,14057,0.21711899791231734
4,13487,0.2163308589607635
3,11697,0.21626984126984128
7,15376,0.21621621621621623
1,11278,0.2161764705882353
3,14122,0.2159468438538206
7,12953,0.2157622739018088
6,13871,0.21568627450980393
5,13891,0.21505376344086022
1,13204,0.21436716077537057
2,12264,0.21428571428571427
4,11193,0.2140921409214092
6,10423,0.2140468227424749
4,14107,0.21403260099220411
1,13232,0.21354166666666666
1,11042,0.2131578947368421
7,12339,0.21235521235521235
7,13204,0.2120838471023428
5,11057,0.2120689655172414
3,12266,0.2119815668202765
6,12478,0.2119700748129676
5,13204,0.21169590643274855
5,13342,0.21160409556313994
6,10792,0.211340206185567
1,10397,0.2113241194828355
3,12191,0.2109004739336493
3,10397,0.21076233183856502
6,14492,0.2103448275862069
7,14893,0.21021021021021022
2,13871,0.20952380952380953
3,10792,0.20920502092050208
1,14683,0.20916905444126074
3,11193,0.20899470899470898
1,10800,0.2088888888888889
1,13931,0.2085889570552147
7,11292,0.20836390315480557
6,10529,0.20833333333333334
5,14635,0.20833333333333334
2,11292,0.20833333333333334
1,10821,0.20806241872561768
2,12191,0.20773930753564154
5,13487,0.206401766004415
5,14908,0.205607476635514
3,13303,0.2054794520547945
7,15304,0.2054794520547945
7,14100,0.2054794520547945
3,14893,0.2051948051948052
7,14057,0.205
7,10423,0.20493827160493827
1,15376,0.2046783625730994
1,14492,0.20417633410672853
7,11066,0.20408163265306123
5,14107,0.20408163265306123
1,12889,0.2027729636048527
1,13796,0.20246913580246914
3,14635,0.20218579234972678
1,14893,0.20215633423180593
5,13303,0.20189274447949526
1,11433,0.20162932790224034
3,13204,0.20136518771331058
4,10800,0.20089285714285715
3,14057,0.20044543429844097
2,14524,0.2
2,14843,0.19895287958115182
4,14570,0.1987179487179487
2,13931,0.1986754966887417
7,11697,0.19839679358717435
3,11298,0.1983930778739184
2,11042,0.19839142091152814
7,13198,0.19817767653758542
1,14057,0.19811320754716982
2,11298,0.19797297297297298
6,11259,0.19786096256684493
4,14908,0.1976401179941003
1,11259,0.19732441471571907
3,13796,0.1972972972972973
3,14679,0.19708029197080293
1,11193,0.1970074812967581
3,10693,0.19694072657743786
3,10821,0.19658119658119658
6,12953,0.1963963963963964
7,10721,0.19637139807897544
7,11057,0.1959262851600388
2,10423,0.19477434679334918
3,11433,0.19453207150368035
5,10397,0.19420156465715602
1,11057,0.19401709401709402
6,12451,0.19393939393939394
3,14492,0.1939252336448598
6,14843,0.19383259911894274
7,14492,0.1934673366834171
2,11697,0.1932938856015779
5,11193,0.19293478260869565
7,10800,0.19289340101522842
7,12264,0.19262981574539365
7,13342,0.19242902208201892
6,11066,0.1921182266009852
2,13851,0.19138755980861244
1,11298,0.19089759797724398
1,14635,0.1907514450867052
6,13930,0.19050942079553385
2,10792,0.19047619047619047
3,12889,0.19030520646319568
7,11278,0.18983050847457628
2,15016,0.18907563025210083
2,13495,0.18781725888324874
6,13198,0.18770226537216828
3,14107,0.18759231905465287
7,12451,0.1875
1,13303,0.1875
7,10693,0.18736842105263157
3,15016,0.18736842105263157
3,13244,0.1867704280155642
5,14831,0.18591549295774648
2,15304,0.18590998043052837
2,10140,0.18584070796460178
5,11433,0.1857451403887689
2,12451,0.18571428571428572
1,15304,0.1853211009174312
5,14893,0.185
6,14027,0.18487394957983194
2,10693,0.18484288354898337
7,11042,0.18452380952380953
2,11278,0.18413173652694612
7,13930,0.18381112984822934
1,14107,0.1837959489872468
7,13232,0.18292682926829268
1,14730,0.18235294117647058
2,13796,0.18230563002680966
2,14683,0.18155619596541786
7,14908,0.18152866242038215
2,14492,0.1807511737089202
1,14679,0.18072289156626506
6,12264,0.18058690744920994
